PRICE,BEDROOMS,BATHROOMS,GARAGE,FLOOR_AREA,BUILD_YEAR
270000,3,2,2.0,109,2011.0
470000,4,2,2.0,279,2005.0
455000,4,2,2.0,200,2004.0
410000,4,2,2.0,148,2005.0
245000,3,2,1.0,105,2012.0
394000,4,2,2.0,223,2006.0
385000,4,2,2.0,146,2007.0
410000,4,2,2.0,183,2006.0
390000,4,2,2.0,153,2003.0
460000,4,2,2.0,190,2002.0
160000,3,2,3.0,111,2011.0
335000,4,2,2.0,200,2005.0
382000,4,2,2.0,146,2006.0
508000,4,2,3.0,192,2005.0
345000,4,2,2.0,162,2007.0
305000,3,2,1.0,116,2012.0
353000,4,2,2.0,174,2005.0
360000,4,2,2.0,193,2008.0
360000,3,2,2.0,140,2012.0
375000,4,2,2.0,166,2004.0
405000,4,2,2.0,143,2001.0
290000,4,2,2.0,143,2012.0
366000,4,2,4.0,190,2001.0
420000,4,2,2.0,191,2006.0
290000,3,2,1.0,110,2012.0
430000,4,2,2.0,213,2006.0
518000,4,2,3.0,236,2007.0
455000,4,2,2.0,226,2007.0
470000,4,2,2.0,183,2005.0
300000,3,2,2.0,110,2009.0
433000,4,2,2.0,190,2005.0
399000,4,2,2.0,173,2009.0
417000,4,2,2.0,190,2005.0
415000,4,2,2.0,165,2010.0
360000,4,2,2.0,180,2006.0
400000,4,2,2.0,195,2003.0
429000,4,2,2.0,163,2002.0
350000,4,2,2.0,155,2008.0
452000,4,2,2.0,236,2005.0
360000,4,2,2.0,165,2007.0
300000,4,2,2.0,165,2006.0
368000,4,2,2.0,184,2008.0
347000,4,2,2.0,137,2005.0
360000,4,2,2.0,165,2005.0
425000,4,2,2.0,128,2004.0
466000,4,2,2.0,254,2005.0
460000,4,2,2.0,218,2003.0
430000,4,2,2.0,201,2007.0
380000,4,2,2.0,190,2002.0
320000,3,2,2.0,94,2008.0
305000,3,2,2.0,140,2010.0
567000,4,2,2.0,237,2001.0
385000,3,2,4.0,198,2006.0
360000,4,2,2.0,186,2005.0
450000,4,2,2.0,164,2005.0
390000,4,2,2.0,187,2009.0
300000,3,2,2.0,129,2008.0
436000,4,2,2.0,180,2008.0
370000,4,2,5.0,142,2002.0
445000,4,2,2.0,204,2005.0
360000,4,2,2.0,144,2005.0
355000,4,2,2.0,214,2009.0
285000,3,2,1.0,107,2011.0
370000,4,2,2.0,153,2001.0
340000,3,2,2.0,175,2005.0
511000,4,2,2.0,219,2005.0
389000,3,2,3.0,140,2005.0
385000,4,2,2.0,184,2006.0
360000,3,2,2.0,144,2004.0
425000,4,2,2.0,202,2003.0
359000,3,2,2.0,137,2006.0
373000,3,2,2.0,200,2002.0
350000,4,2,6.0,152,2006.0
400000,4,2,2.0,172,2010.0
372500,4,2,2.0,173,2010.0
485000,4,2,4.0,210,2006.0
470000,4,2,2.0,255,2007.0
372000,4,2,2.0,166,2006.0
325000,4,2,2.0,153,2006.0
420000,4,2,2.0,213,2010.0
380000,4,2,2.0,150,2006.0
302000,3,2,2.0,158,2006.0
435000,4,2,2.0,200,2004.0
375000,3,2,2.0,126,2008.0
277000,4,2,2.0,141,2006.0
336000,4,2,2.0,122,2011.0
370000,4,2,2.0,165,2004.0
355000,4,2,2.0,152,2006.0
276000,3,2,2.0,110,2011.0
320000,4,2,2.0,143,2005.0
400000,4,2,2.0,171,2006.0
296000,3,2,2.0,130,2011.0
445000,4,2,2.0,185,2006.0
380000,4,2,2.0,150,2005.0
420000,4,2,2.0,178,2006.0
315000,4,2,2.0,130,2010.0
270000,3,2,2.0,125,2008.0
420000,4,2,2.0,209,2003.0
310000,3,2,2.0,160,2000.0
500000,4,2,2.0,216,2008.0
445000,4,2,2.0,243,2003.0
370000,4,2,2.0,157,2006.0
355000,3,2,2.0,123,2010.0
310000,3,2,2.0,99,2010.0
370000,4,2,2.0,184,2009.0
350000,4,2,2.0,191,2011.0
400000,3,2,2.0,158,2005.0
432000,4,2,2.0,179,2007.0
516000,4,2,2.0,240,2006.0
360000,3,2,2.0,137,2009.0
283000,3,2,2.0,117,2011.0
390000,4,2,2.0,154,2006.0
387000,4,2,2.0,156,2005.0
435000,4,2,2.0,236,2006.0
390000,5,2,2.0,153,2006.0
380000,4,2,2.0,157,2007.0
340000,4,2,2.0,154,2002.0
485000,4,2,2.0,213,2004.0
400000,3,2,2.0,185,2002.0
254000,3,2,2.0,143,2008.0
479000,4,2,3.0,210,2006.0
480000,4,2,2.0,224,2010.0
410000,4,2,2.0,175,2002.0
482500,4,2,4.0,214,2007.0
352500,4,2,2.0,140,2002.0
465000,4,2,2.0,215,2010.0
410000,4,2,2.0,210,2008.0
390000,4,2,2.0,171,2006.0
482000,4,2,4.0,242,2007.0
400000,4,2,4.0,161,2006.0
390000,4,2,2.0,187,2004.0
455000,4,2,2.0,190,2004.0
365000,3,2,2.0,143,2006.0
428000,4,2,2.0,160,2005.0
430000,4,2,2.0,170,2004.0
336000,4,2,2.0,149,2006.0
348000,4,2,2.0,181,2007.0
350000,3,2,2.0,137,2009.0
325000,4,2,2.0,190,2004.0
455500,4,2,2.0,211,2007.0
365000,4,2,2.0,142,2008.0
477500,4,2,2.0,178,2006.0
293000,4,2,2.0,144,2003.0
416000,4,2,2.0,184,2000.0
321500,3,2,2.0,147,2010.0
520000,4,2,2.0,280,2011.0
374000,4,2,2.0,151,2006.0
407000,4,2,2.0,173,2005.0
500000,4,2,2.0,230,2006.0
340000,4,2,2.0,154,2010.0
300000,4,2,2.0,121,2009.0
339000,4,2,2.0,123,2009.0
415000,4,2,2.0,184,2006.0
470000,4,2,4.0,206,2009.0
500000,4,2,2.0,227,2008.0
385000,4,2,2.0,186,2006.0
430000,4,2,4.0,150,2006.0
460000,6,3,2.0,167,2005.0
455000,4,2,2.0,167,2004.0
358000,3,2,2.0,126,2011.0
270000,3,2,2.0,128,2003.0
368000,4,2,2.0,144,2002.0
400000,4,2,2.0,191,2005.0
365000,4,2,2.0,185,2007.0
430000,4,2,2.0,190,2006.0
359000,4,2,2.0,164,2009.0
362500,4,2,2.0,218,2010.0
410000,4,2,2.0,155,2005.0
440000,4,2,2.0,148,2003.0
429900,5,2,2.0,292,2002.0
373000,4,2,4.0,154,2005.0
467800,4,2,2.0,201,2005.0
350000,4,2,4.0,185,2006.0
360000,3,2,2.0,116,2012.0
300000,3,2,2.0,126,2011.0
405000,3,2,2.0,177,2003.0
350000,4,2,4.0,191,2004.0
515000,5,3,2.0,237,2006.0
329000,4,2,2.0,196,2009.0
405000,4,2,2.0,157,2008.0
360000,4,2,2.0,142,2011.0
362000,4,2,2.0,144,2003.0
285000,3,2,2.0,106,2012.0
387000,4,2,2.0,140,2002.0
307000,3,2,2.0,160,2008.0
360000,4,2,2.0,145,2005.0
370000,4,2,2.0,143,2007.0
375000,4,2,2.0,138,2006.0
457000,4,2,2.0,246,2005.0
490000,4,2,2.0,193,2004.0
316000,4,2,2.0,142,2005.0
380000,4,2,1.0,147,2004.0
470000,4,2,2.0,195,2007.0
385000,4,2,2.0,162,2008.0
312000,3,2,2.0,170,2008.0
419000,4,2,2.0,198,2009.0
429000,4,2,2.0,211,2003.0
329000,4,2,2.0,163,2006.0
315000,3,2,2.0,114,2013.0
442000,4,2,4.0,240,2008.0
380000,6,3,2.0,200,2006.0
376000,4,2,2.0,180,2008.0
350000,4,2,2.0,177,2005.0
441000,4,2,2.0,195,2004.0
